"OPGR_ID","VONDSTNR","INHOUD","ABR_ALG","ABR_SPECSVU","AANTAL","GEWICHT","DOOSNR","LOKATIE","BEWAARD?","OPMERKING","INVDATUM","BEWAARCATEGORIE"
"CUIK3-07",1,"awh","KER","AWH",2,28,"3",,False,,1-10-2007,
"CUIK3-07",1,"VST","SXX","SVU",1,40,4,"1",,False,"vuursteen",1-10-2007,
"CUIK3-07",2,"awh","ker","awg",1,4,"4",,False,,2-10-2007,
"CUIK3-07",3,"NS","SXX","SXX",1,1800,"2",,False,"ARTEFACT",1-10-2007,
"CUIK3-07",4,"awh","KER","AWH",3,6,2,"3",,False,,1-10-2007,
"CUIK3-07",5,"AWG","KER","AWG",2,6,"4",,False,,13-12-2007,
"CUIK3-07",5,"awh","KER","AWH",1,4,"3",,False,,1-10-2007,
"CUIK3-07",6,"AWG","ker","awg",4,116,4,"4",,False,,2-10-2007,
"CUIK3-07",6,"awh","KER","AWH",11,23,8,"3",,False,,1-10-2007,
"CUIK3-07",6,"VST","SXX","SVU",1,2,2,"1",,False,"vuursteen",1-10-2007,
"CUIK3-07",7,"awg","ker","awg",1,3,"4",,False,,2-10-2007,
"CUIK3-07",7,"awh","ker","awh",3,19,8,"3",,False,,1-10-2007,
"CUIK3-07",7,"BW","KER","BOUWMAT",1,165,2,"6",,False,,1-10-2007,
"CUIK3-07",7,"GLS","GLS","GLS",1,2,"1",,False,,1-10-2007,
"CUIK3-07",7,"NS","SXX","SXX",1,2,4,"2",,False,"ONBEWERKT",1-10-2007,
"CUIK3-07",8,"awg","ker","awg",5,27,6,"4",,False,,2-10-2007,
"CUIK3-07",8,"awh","ker","AWH",6,49,6,"4",,False,,2-10-2007,
"CUIK3-07",9,"awg","ker","awg",5,42,8,"4",,False,,2-10-2007,
"CUIK3-07",9,"awh","ker","AWH",6,23,4,"4",,False,,2-10-2007,
"CUIK3-07",9,"BW","KER","BOUWMAT",2,36,1,"6",,False,,1-10-2007,
"CUIK3-07",10,"awh","ker","awh",11,35,4,"3",,False,,1-10-2007,
"CUIK3-07",11,"awg","ker","awg",1,4,8,"4",,False,,1-10-2007,
"CUIK3-07",11,"awh","ker","awh",4,30,4,"3",,False,,1-10-2007,
"CUIK3-07",12,"awg","ker","awg",3,4,8,"4",,False,,1-10-2007,
"CUIK3-07",12,"AWH","ker","awh",5,41,8,"3",,False,,1-10-2007,
"CUIK3-07",13,"awh","ker","awh",5,24,4,"3",,False,,1-10-2007,
"CUIK3-07",13,"NS","SXX","SXX",1,28,4,"2",,False,"ONBEWERKT",1-10-2007,
"CUIK3-07",13,"VST","SXX","SVU",1,4,6,"1",,False,"vuursteen",1-10-2007,
"CUIK3-07",14,"AWG","KER","AWG",1,6,"4",,False,,13-12-2007,
"CUIK3-07",14,"awh","ker","awh",2,5,"3",,False,,1-10-2007,
"CUIK3-07",14,"BW","KER","BOUWMAT",1,26,8,"6",,False,,1-10-2007,
