OPGR_ID,VONDSTNR,INHOUD,ABR_ALG,ABR_SPECSVU,AANTAL,GEWICHT,DOOSNR,LOKATIE,BEWAARD?,OPMERKING,INVDATUM,BEWAARCATEGORIE
CUIK3-07,1,VST,SXX,SVU,1,40.4,1,,FALSE,vuursteen,1-10-2007,
CUIK3-07,4,AWH,KER,AWH,3,6.2,3,,FALSE,,1-10-2007,
CUIK3-07,6,AWH,KER,AWH,11,23.8,3,,FALSE,,1-10-2007,
CUIK3-07,6,VST,SXX,SVU,1,2.2,1,,FALSE,vuursteen,1-10-2007,
CUIK3-07,7,AWH,KER,AWH,3,19.8,3,,FALSE,,1-10-2007,
CUIK3-07,7,BW,KER,BOUWMAT,1,165.2,6,,FALSE,,1-10-2007,
CUIK3-07,7,NS,SXX,SXX,1,2.4,2,,FALSE,ONBEWERKT,1-10-2007,
CUIK3-07,9,BW,KER,BOUWMAT,2,36.1,6,,FALSE,,1-10-2007,
CUIK3-07,10,AWH,KER,AWH,11,35.4,3,,FALSE,,1-10-2007,
CUIK3-07,11,AWG,KER,AWG,1,4.8,4,,FALSE,,1-10-2007,
CUIK3-07,11,AWH,KER,AWH,4,30.4,3,,FALSE,,1-10-2007,
CUIK3-07,12,AWG,KER,AWG,3,4.8,4,,FALSE,,1-10-2007,
CUIK3-07,12,AWH,KER,AWH,5,41.8,3,,FALSE,,1-10-2007,
CUIK3-07,13,AWH,KER,AWH,5,24.4,3,,FALSE,,1-10-2007,
CUIK3-07,13,NS,SXX,SXX,1,28.4,2,,FALSE,ONBEWERKT,1-10-2007,
CUIK3-07,13,VST,SXX,SVU,1,4.6,1,,FALSE,vuursteen,1-10-2007,
CUIK3-07,14,BW,KER,BOUWMAT,1,26.8,6,,FALSE,,1-10-2007,
CUIK3-07,15,AWH,KER,AWH,1,10.2,3,,FALSE,,1-10-2007,
CUIK3-07,17,AWH,KER,AWH,4,19.4,3,,FALSE,,1-10-2007,
CUIK3-07,20,AWH,KER,AWH,1,4.2,3,,FALSE,,1-10-2007,
CUIK3-07,21,AWH,KER,AWH,3,33.2,3,,FALSE,,1-10-2007,
CUIK3-07,22,AWG,KER,AWG,1,144.6,4,,FALSE,,1-10-2007,
CUIK3-07,23,NS,SXX,SXX,1,2.8,2,,FALSE,ONBEWERKT,1-10-2007,
CUIK3-07,24,AWH,KER,AWH,6,20.4,3,,FALSE,,1-10-2007,
CUIK3-07,25,AWH,KER,AWH,2,10.2,3,,FALSE,,1-10-2007,
CUIK3-07,26,AWH,KER,AWH,16,52.3,3,,FALSE,,1-10-2007,
CUIK3-07,26,BW,KER,BOUWMAT,1,5.5,6,,FALSE,,1-10-2007,
CUIK3-07,26,VST,SXX,SVU,1,3.6,1,,FALSE,vuursteen,1-10-2007,
CUIK3-07,27,BW,KER,BOUWMAT,2,18.2,6,,FALSE,,1-10-2007,
CUIK3-07,28,MET,MXX,MXX,1,6.6,,afgestoten,FALSE,,1-10-2007,
CUIK3-07,30,AWH,KER,AWH,2,3.6,3,,FALSE,,1-10-2007,
CUIK3-07,31,AWH,KER,AWH,3,12.6,3,,FALSE,,1-10-2007,
CUIK3-07,32,AWH,KER,AWH,5,25.8,3,,FALSE,,1-10-2007,
CUIK3-07,32,SLK,MXX,SLAK,1,8.2,1,,FALSE,,1-10-2007,
CUIK3-07,33,AWG,KER,AWG,1,3.7,4,,FALSE,,1-10-2007,
CUIK3-07,33,AWH,KER,AWH,2,4.7,3,,FALSE,,1-10-2007,
CUIK3-07,34,AWH,KER,AWH,3,8.2,3,,FALSE,,1-10-2007,
