"OPGR_ID","PUTNR","VLAKNR","VAKNR","SPOORNR","VULLINGNR","SEGMENTNR","VONDSTNR","INHOUD","MONSTER","VERZAMEL","DATUM","OPMERKING","INVDATUM"
"CUIK3-07",1,1,201,4000,1,,1,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",1,1,301,4000,1,,2,"AW",,"AANV",,,8-10-2007
"CUIK3-07",1,1,102,4000,1,,3,"NS",,"PUNT",,,8-10-2007
"CUIK3-07",1,1,203,4000,1,,4,"AW",,"AANV",,,8-10-2007
"CUIK3-07",4,1,101,4000,1,,5,"AW",,"AANV",,,8-10-2007
"CUIK3-07",6,1,101,3000,1,,6,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,1,201,3000,1,,7,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,1,102,3000,1,,8,"AW",,"AANV",,,8-10-2007
"CUIK3-07",6,1,103,3000,1,,9,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,1,104,3000,1,,10,"AW",,"AANV",,,8-10-2007
"CUIK3-07",6,1,105,3000,1,,11,"AW",,"AANV",,,8-10-2007
"CUIK3-07",6,1,202,3000,1,,12,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,1,203,3000,1,,13,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,1,204,3000,1,,14,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,1,205,3000,1,,15,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",6,2,201,3000,1,,16,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",20,1,201,3000,1,,17,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",20,1,101,3000,1,,18,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",20,1,101,4000,1,,19,"MIX",,"AANV",,"mollenlaag",8-10-2007
"CUIK3-07",20,1,102,4000,1,,20,"MIX",,"AANV",,"mollenlaag",8-10-2007
"CUIK3-07",20,1,,8,1,,21,"AW",,"AANV",,"vlakvondst",8-10-2007
"CUIK3-07",20,1,103,2000,1,,22,"AW",,"AANV",,,8-10-2007
"CUIK3-07",20,1,202,3000,1,,23,"MIX",,"AANV",,,8-10-2007
"CUIK3-07",20,1,204,3000,1,,24,"MIX",,"AANV",,,8-10-2007
